No.,ポータル,所在地,物件No.,価格（万円）,利回り（%）,年間賃料（万円）,月賃料（万円）,築年数,間取り,構造,土地面積（㎡）,建物面積（㎡）,建ぺい率,容積率,駐車場,駐車台数,最寄駅,駅距離,公共下水,公営水道,再建築可,現況,傾き,白アリ,物件URL
1,健美家,市原市金谷,4283103wpt,171,35.08,60,5,1968年1月築（58年）,3DK,木造平屋,205.91,67.36,60%,100%,確認済,2台,JR東金駅,約4.5km（車前提）,要現地確認,要現地確認,要現地確認,要現地確認,要現地確認,要現地確認,https://www.kenbiya.com/pp8/s/chiba/ichihara-shi/re_4283103wpt/
2,健美家,市原市姉崎,4425051niz,290,22.75,66,5.5,1974年9月築（52年）,3DK,木造2階建て,86,65.81,,,確認済,1台,JR内房線 姉ケ崎駅,徒歩18分,要現地確認,要現地確認,要現地確認,入居状況要確認,要現地確認,要現地確認,https://www.kenbiya.com/pp8/s/chiba/ichihara-shi/re_4425051niz/
3,健美家,茂原市下永吉,4284952dvv,360,14.00,50.4,4.2,1983年10月築（42年）,3LDK,木造2階建て,236.66,91.29,60%,200%,確認済,2台,JR外房線 茂原駅,2700m（徒歩34分）,要現地確認,要現地確認,要現地確認,入居状況要確認,要現地確認,要現地確認,https://www.kenbiya.com/pp8/s/chiba/mobara-shi/re_4284952dvv/
4,健美家,茂原市高師,4434813nmi,400,13.50,54,4.5,1968年7月築（58年）,3DK,木造平屋,165.28,64.43,60%,200%,要現地確認,,JR外房線 新茂原・茂原駅,徒歩21〜22分,要現地確認,要現地確認,要現地確認,空室（2026/4/16新着）,要現地確認,要現地確認,https://www.kenbiya.com/pp8/s/chiba/mobara-shi/re_4434813nmi/
